timestamp,readiness,predicted,actual
2025-11-09T04:53:12.424Z,68.47,0.34,
2025-11-09T04:53:22.566Z,68.47,0.34,
2025-11-09T04:53:32.409Z,68.47,0.34,
2025-11-09T04:53:42.752Z,68.47,0.34,
2025-11-09T04:53:52.813Z,68.47,0.34,
2025-11-09T04:54:03.221Z,68.47,0.34,
2025-11-09T04:54:13.244Z,68.47,0.34,
2025-11-09T04:54:23.320Z,68.47,0.34,
2025-11-09T04:54:33.132Z,68.47,0.34,
2025-11-09T04:55:10.141Z,68.47,0.34,
2025-11-09T04:56:00.770Z,68.47,0.34,
2025-11-09T04:56:10.684Z,68.47,0.34,
2025-11-09T04:56:20.595Z,68.47,0.34,
2025-11-09T04:56:31.457Z,68.47,0.34,
2025-11-09T04:56:40.862Z,68.47,0.34,
2025-11-09T04:56:51.597Z,68.47,0.34,
2025-11-09T04:57:01.159Z,68.47,0.34,
2025-11-09T04:57:10.753Z,68.47,0.34,
2025-11-09T04:57:21.086Z,68.47,0.34,
